id,title,category,os,versions,price,originalPrice,rating,sales,imageUrl,catalogImageUrl,buyUrl,color,specs,sortOrder
app-autocad,AutoCAD (WIN & MAC),Engineering,Win & Mac,2015 - 2016 - 2017 - 2018 - 2019 - 2020 - 2021 - 2022 - 2023 - 2024 - 2025 - 2026,15000,30000,5,51,/assets/katalogAutocad.png,/assets/katalogAutocad.png,https://lynk.id/aplikasi_id/wPDKpNa/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"FULL VERSION, BUKAN TRIAL, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",2
app-office,Microsoft Office 365 / 2024 Pro Plus,Office,Win & Mac,2016 - 2019 - 2021 - 2024 - Office 365,17000,35000,5,47,/assets/katalogMicrosoft.png,/assets/katalogMicrosoft.png,https://lynk.id/aplikasi_id/ry7qj32np0xq/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"WORD EXCEL POWERPOINT, FULL VERSION, AKTIVASI PERMANEN, UPDATE RESMI",0
app-photoshop,Adobe Photoshop (WIN & MAC),Design,Win & Mac,2025 - 2024 - 2023 - 2022 - 2021 - 2020 - 2019 - CS6,15000,76000,5,62,/assets/katalogPhotoshop.png,/assets/katalogPhotoshop.png,https://lynk.id/aplikasi_id/7mnjr5dkk51e/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"FULL VERSION, FITUR LENGKAP, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",1
app-sketchup,SketchUp Pro + Vray & Enscape (WIN & MAC),Engineering,Win & Mac,2015 - 2016 - 2017 - 2018 - 2019 - 2020 - 2021 - 2022 - 2023 - 2024 - 2025,15000,87000,5,55,/assets/KatalogSketchup.png,/assets/KatalogSketchup.png,https://lynk.id/aplikasi_id/9xoo039wr511/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"INCLUDE VRAY, ENSCAPE, 3D WAREHOUSE, FREE EXTENSION, BONUS MATERIAL",3
app-davinci,DaVinci Resolve Studio + Project (WIN & MAC),Video,Win & Mac,14 - 15 - 16 - 17 - 18 - 19 - 20 Studio,15000,47000,5,43,/assets/katalogDavinci.png,/assets/katalogDavinci.png,https://lynk.id/aplikasi_id,#2563eb,"FULL VERSION, FITUR LENGKAP, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",4
app-lightroom,Lightroom Classic (WIN & MAC),Design,Win & Mac,2018 - 2019 - 2020 - 2021 - 2022 - 2023 - 2024 - 2025,16000,89000,5,87,/assets/katalogLightroom.png,/assets/katalogLightroom.png,https://lynk.id/aplikasi_id/e8re3erxgkdw/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"FULL VERSION, FITUR LENGKAP, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",5
app-premiere,Adobe Premiere Pro (WIN & MAC),Video,Win & Mac,CS3 - CS5 - CS6 - 2015 sd 2025,15000,76000,5,47,/assets/katalogPremiere.png,/assets/katalogPremiere.png,https://lynk.id/aplikasi_id/3ky65ex1xpky/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"FULL VERSION, FITUR LENGKAP, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",6
app-coreldraw,CorelDRAW Graphics Suite 2025 (WIN),Design,Windows,X6 - X7 - X8 - 2018 sd 2025,15000,57000,5,89,/assets/katalogCorel.png,/assets/katalogCorel.png,https://lynk.id/aplikasi_id/am9ZERB/checkout?token=cGFyYW1zPSU1QiU1RCZ0aWNrZXRzPSU1QiU1RCZiaWRfcHJpY2U9MCZxdHlfcHJvZD0xJnNlc3NpZD0mdG90YWxfcHJpY2U9JnRvdGFsX3VuaXQ9,#2563eb,"FULL VERSION, FITUR LENGKAP, BEBAS UPDATE, INSTAL MUDAH, BEBAS VIRUS",8
app-recoverit,Wondershare Recoverit Pro (WIN & MAC),Utility,Win & Mac,Versi Terbaru 2026 Full Activated,15500,67000,4.9,98,/assets/katalogRecoverit.png,/assets/katalogRecoverit.png,https://lynk.id/aplikasi_id,#2563eb,"ULTIMATE DATA RECOVERY, SOLUSI FILE TERHAPUS, FULL VERSION, GARANSI",9
app-idm,Internet Download Manager (IDM) Lifetime,Utility,Windows,Versi 6.42 Build Terbaru 2026,14000,46000,5,65,/assets/katalogIdm.png,/assets/katalogIdm.png,https://lynk.id/aplikasi_id,#2563eb,"DOWNLOAD 5X LEBIH CEPAT, NO TRIAL POPUP, AKTIVASI SEUMUR HIDUP",10
